iter	MultiClass
0	1.784995173
1	1.633430087
2	1.519108667
3	1.416086696
4	1.327185413
5	1.256905819
6	1.19626846
7	1.137074807
8	1.075402981
9	1.024272452
10	0.9779861585
11	0.9452989005
12	0.9090664024
13	0.8709421901
14	0.8421974448
15	0.8125015526
16	0.7850777129
17	0.7569292524
18	0.7347408692
19	0.7182553597
20	0.6989804487
21	0.6780421539
22	0.6618111959
23	0.6470443923
24	0.6263891339
25	0.6096031314
26	0.590454022
27	0.5769388882
28	0.5640663269
29	0.544199644
30	0.5279831965
31	0.5145190899
32	0.503595827
33	0.4949159644
34	0.4854126591
35	0.4752360959
36	0.4651088315
37	0.4570895684
38	0.4489876699
39	0.4427560344
40	0.4328518355
41	0.4263445976
42	0.4198153492
43	0.4134468391
44	0.4067920591
45	0.3995964419
46	0.3951825783
47	0.3873914816
48	0.3799347726
49	0.374225511
50	0.3691291414
51	0.3655288235
52	0.3607449559
53	0.3563262817
54	0.3489614676
55	0.3440905698
56	0.3386622772
57	0.3354060189
58	0.3309677537
59	0.3270789812
60	0.3232557157
61	0.3200417912
62	0.3188883411
63	0.3145489623
64	0.3105908759
65	0.3063395392
66	0.3014427441
67	0.2979493392
68	0.2960106073
69	0.2930552469
70	0.2893825015
71	0.2872566072
72	0.2841476893
73	0.2817236836
74	0.2781790348
75	0.2745260211
76	0.2719100752
77	0.2691003029
78	0.2657987566
79	0.262009405
80	0.2600386454
81	0.2572577977
82	0.2540316644
83	0.2519796435
84	0.250372902
85	0.2484421734
86	0.2460259048
87	0.2434576193
88	0.2393930703
89	0.2371419514
90	0.2356183375
91	0.2332740834
92	0.2313097564
93	0.229549581
94	0.2270603108
95	0.2255208942
96	0.2239575988
97	0.2227866682
98	0.221681691
99	0.2198485417
100	0.2171614716
101	0.2150547954
102	0.2104915445
103	0.2078768188
104	0.2064479599
105	0.204167808
106	0.2006245637
107	0.1969320291
108	0.1953741235
109	0.1919333278
110	0.1880810861
111	0.1861571131
112	0.1848115106
113	0.183441845
114	0.1819942611
115	0.180557907
116	0.1790191805
117	0.1765885883
118	0.1746649759
119	0.1733089702
120	0.1718338356
121	0.1698445724
122	0.1679520907
123	0.1665368136
124	0.1641253866
125	0.1632678872
126	0.1622559678
127	0.1611463395
128	0.1605719468
129	0.1595098377
130	0.1588189227
131	0.1582383574
132	0.1568170136
133	0.1552910908
134	0.1540483702
135	0.153385547
136	0.1523071094
137	0.151739184
138	0.1499552854
139	0.1491342398
140	0.1480022953
141	0.1476042387
142	0.1468468276
143	0.1449212433
144	0.143799524
145	0.1427778003
146	0.1418834156
147	0.1413353308
148	0.1403474277
149	0.1387983238
150	0.1378844517
151	0.137060315
152	0.1359738137
153	0.1339552011
154	0.1328460421
155	0.1321482334
156	0.1315053796
157	0.1309922614
158	0.1303836688
159	0.1288767071
160	0.1276913431
161	0.1270928425
162	0.1262178194
163	0.1249940697
164	0.1244359509
165	0.1238696421
166	0.1229730115
167	0.1224990903
168	0.1220094329
169	0.1212987992
170	0.1198117693
171	0.119406607
172	0.118575377
173	0.117944823
174	0.1172168097
175	0.1164494734
176	0.116017138
177	0.1151247537
178	0.1147955134
179	0.1141995177
180	0.1132446653
181	0.1120647262
182	0.1114074346
183	0.110329897
184	0.1095264571
185	0.1087565377
186	0.1083101164
187	0.1073652699
188	0.1069165704
189	0.1067146452
190	0.1058628539
191	0.1053231197
192	0.1046679705
193	0.1042263347
194	0.1038756287
195	0.1026324877
196	0.1024795909
197	0.1020353592
198	0.1017471287
199	0.1012670821
200	0.1008250804
201	0.1004454068
202	0.1001955754
203	0.09998533238
204	0.09950361637
205	0.0991379841
206	0.09866739407
207	0.09794869195
208	0.09742629286
209	0.09691429413
210	0.09664600974
211	0.09610110521
212	0.09527604166
213	0.09436398236
214	0.09398505305
215	0.09295051162
216	0.09258143996
217	0.09181862389
218	0.09110774067
219	0.09074484217
220	0.09025151691
221	0.08976152192
222	0.08929309135
223	0.08896417872
224	0.08859161074
225	0.08811271403
226	0.08775164476
227	0.08752205367
228	0.0870773871
229	0.08680358871
230	0.08658698124
231	0.08620708826
232	0.08572975303
233	0.0848768101
234	0.08426545742
235	0.08398155191
236	0.08361915758
237	0.08334282264
238	0.08301619908
239	0.08254635745
240	0.08230388518
241	0.08192492721
242	0.08148532211
243	0.08114919751
244	0.08086783719
245	0.08058198437
246	0.08026721887
247	0.07980002345
248	0.07950885151
249	0.07932988737
250	0.07882337048
251	0.07852244849
252	0.07815029065
253	0.07752675898
254	0.07722688235
255	0.07705782944
256	0.07689711187
257	0.07658288607
258	0.07625031404
259	0.07602833795
260	0.07567157432
261	0.07529286714
262	0.07517160555
263	0.07481635874
264	0.07458040286
265	0.07418546074
