iter	Passed	Remaining
0	11	11247
1	19	9814
2	28	9446
3	36	9143
4	44	8910
5	52	8637
6	61	8672
7	69	8559
8	78	8603
9	86	8537
10	94	8503
11	102	8418
12	110	8382
13	118	8347
14	126	8324
15	133	8236
16	142	8226
17	150	8195
18	158	8203
19	166	8162
20	174	8136
21	182	8122
22	191	8115
23	199	8115
24	208	8117
25	216	8101
26	224	8102
27	232	8068
28	240	8050
29	248	8021
30	255	7999
31	263	7982
32	272	7983
33	280	7969
34	288	7943
35	295	7919
36	304	7921
37	312	7911
38	320	7898
39	328	7877
40	335	7856
41	343	7841
42	351	7831
43	359	7808
44	367	7791
45	374	7776
46	383	7767
47	391	7759
48	399	7755
49	408	7758
50	416	7746
51	424	7742
52	432	7731
53	440	7722
54	448	7712
55	456	7695
56	464	7691
57	472	7681
58	481	7675
59	489	7667
60	497	7656
61	505	7651
62	513	7642
63	522	7635
64	530	7629
65	537	7612
66	546	7605
67	554	7593
68	562	7590
69	571	7587
70	578	7573
71	586	7554
72	594	7546
73	602	7541
74	611	7538
75	627	7624
76	639	7668
77	650	7694
78	661	7714
79	673	7747
80	685	7778
81	696	7802
82	707	7818
83	716	7817
84	725	7813
85	733	7797
86	741	7780
87	749	7770
88	757	7757
89	765	7742
90	774	7731
91	782	7721
92	790	7713
93	799	7702
94	807	7688
95	814	7671
96	822	7661
97	830	7646
98	838	7629
99	846	7615
100	854	7604
101	861	7588
102	869	7572
103	877	7558
104	885	7546
105	892	7531
106	901	7522
107	908	7505
108	916	7495
109	924	7484
110	932	7472
111	940	7458
112	948	7449
113	956	7432
114	964	7423
115	972	7408
116	980	7402
117	989	7392
118	997	7387
119	1006	7377
120	1014	7370
121	1022	7358
122	1031	7351
123	1038	7338
124	1046	7328
125	1054	7312
126	1061	7299
127	1069	7287
128	1077	7276
129	1086	7269
130	1094	7257
131	1111	7309
132	1123	7323
133	1138	7356
134	1146	7346
135	1156	7346
136	1164	7332
137	1171	7316
138	1179	7304
139	1187	7294
140	1195	7281
141	1203	7269
142	1210	7256
143	1218	7245
144	1227	7236
145	1235	7225
146	1243	7214
147	1250	7200
148	1259	7191
149	1267	7180
150	1275	7170
151	1283	7157
152	1290	7145
153	1298	7133
154	1306	7123
155	1314	7113
156	1322	7102
157	1330	7090
158	1338	7078
159	1346	7067
160	1354	7057
161	1362	7046
162	1369	7032
163	1377	7022
164	1385	7010
165	1393	7001
166	1401	6989
167	1409	6978
168	1416	6964
169	1424	6955
170	1431	6942
171	1439	6931
172	1446	6917
173	1454	6906
174	1463	6898
175	1471	6891
176	1479	6879
177	1487	6871
178	1495	6857
179	1503	6848
180	1511	6840
181	1519	6830
182	1527	6818
183	1535	6810
184	1543	6798
185	1551	6788
186	1558	6777
187	1566	6765
188	1574	6755
189	1581	6742
190	1589	6733
191	1597	6721
192	1605	6713
193	1612	6701
194	1621	6692
195	1629	6683
196	1637	6673
197	1644	6662
198	1652	6651
199	1660	6642
200	1668	6632
201	1676	6621
202	1684	6612
203	1691	6601
204	1700	6594
205	1708	6584
206	1716	6576
207	1724	6565
208	1732	6556
209	1739	6544
210	1747	6534
211	1755	6525
212	1763	6515
213	1771	6506
214	1779	6496
215	1787	6487
216	1795	6478
217	1803	6470
218	1811	6460
219	1819	6450
220	1826	6437
221	1833	6427
222	1841	6415
223	1849	6406
224	1856	6393
225	1863	6383
226	1871	6371
227	1878	6360
228	1886	6351
229	1894	6341
230	1902	6331
231	1909	6320
232	1917	6311
233	1924	6300
234	1933	6293
235	1947	6305
236	1959	6308
237	1970	6310
238	1981	6308
239	1993	6313
240	2003	6310
241	2014	6310
242	2023	6305
243	2031	6294
244	2039	6285
245	2047	6274
246	2055	6265
247	2063	6255
248	2071	6247
249	2079	6237
250	2087	6229
251	2095	6219
252	2102	6209
253	2110	6198
254	2118	6189
255	2125	6178
256	2133	6169
257	2141	6158
258	2148	6147
259	2156	6137
260	2163	6126
261	2171	6116
262	2179	6106
263	2186	6096
264	2194	6085
265	2202	6078
266	2210	6067
267	2217	6057
268	2225	6047
269	2233	6037
270	2240	6027
271	2248	6018
272	2255	6007
273	2264	5998
274	2272	5990
275	2279	5979
276	2287	5970
277	2295	5960
278	2303	5952
279	2311	5943
280	2319	5934
281	2326	5923
282	2334	5914
283	2342	5904
284	2350	5897
285	2358	5887
286	2365	5877
287	2373	5867
288	2380	5856
289	2388	5847
290	2395	5837
291	2403	5828
292	2411	5818
293	2419	5809
294	2427	5801
295	2435	5792
296	2443	5782
297	2450	5773
298	2458	5764
299	2466	5755
300	2473	5744
301	2481	5735
302	2489	5726
303	2497	5716
304	2504	5707
305	2513	5700
306	2521	5691
307	2529	5683
308	2537	5674
309	2545	5665
310	2553	5656
311	2561	5648
312	2569	5639
313	2578	5633
314	2586	5624
315	2594	5616
316	2602	5607
317	2610	5598
318	2617	5588
319	2626	5580
320	2633	5571
321	2641	5562
322	2649	5552
323	2657	5544
324	2665	5536
325	2673	5527
326	2681	5518
327	2689	5510
328	2698	5502
329	2706	5495
330	2714	5486
331	2723	5479
332	2731	5470
333	2739	5461
334	2747	5453
335	2755	5444
336	2763	5435
337	2772	5429
338	2779	5419
339	2787	5411
340	2796	5403
341	2805	5397
342	2813	5389
343	2821	5380
344	2828	5370
345	2836	5362
346	2844	5353
347	2852	5345
348	2860	5336
349	2868	5327
350	2877	5319
351	2884	5309
352	2892	5301
353	2899	5291
354	2908	5283
355	2915	5274
356	2924	5267
357	2931	5257
358	2939	5248
359	2947	5239
360	2954	5230
361	2962	5221
362	2970	5212
363	2978	5203
364	2986	5196
365	2994	5186
366	3002	5178
367	3010	5169
368	3018	5161
369	3025	5152
370	3033	5143
371	3041	5134
372	3048	5125
373	3056	5116
374	3063	5106
375	3072	5098
376	3079	5089
377	3087	5080
378	3095	5071
379	3103	5063
380	3110	5053
381	3118	5044
382	3126	5036
383	3134	5027
384	3141	5018
385	3150	5010
386	3157	5001
387	3165	4992
388	3172	4983
389	3180	4974
390	3187	4965
391	3196	4957
392	3203	4947
393	3210	4938
394	3218	4930
395	3226	4920
396	3233	4912
397	3241	4902
398	3255	4904
399	3269	4903
400	3284	4905
401	3296	4904
402	3308	4901
403	3318	4895
404	3328	4890
405	3338	4885
406	3347	4876
407	3355	4868
408	3363	4860
409	3371	4851
410	3379	4843
411	3388	4835
412	3396	4828
413	3404	4819
414	3412	4809
415	3420	4801
416	3428	4792
417	3435	4783
418	3443	4774
419	3450	4765
420	3458	4756
421	3466	4747
422	3474	4738
423	3481	4729
424	3488	4720
425	3496	4711
426	3504	4702
427	3512	4693
428	3519	4684
429	3527	4675
430	3535	4667
431	3543	4658
432	3550	4649
433	3558	4640
434	3566	4632
435	3573	4623
436	3581	4614
437	3588	4604
438	3596	4596
439	3604	4587
440	3612	4579
441	3619	4569
442	3627	4561
443	3635	4552
444	3643	4543
445	3650	4534
446	3657	4525
447	3665	4516
448	3672	4507
449	3680	4498
450	3688	4489
451	3696	4481
452	3703	4472
453	3711	4464
454	3719	4455
455	3726	4446
456	3734	4437
457	3742	4428
458	3749	4419
459	3757	4411
460	3765	4402
461	3773	4393
462	3781	4385
463	3788	4376
464	3796	4367
465	3803	4358
466	3811	4349
467	3818	4340
468	3826	4331
469	3833	4323
470	3841	4314
471	3849	4305
472	3856	4297
473	3863	4287
474	3871	4279
475	3879	4270
476	3887	4262
477	3895	4253
478	3902	4244
479	3910	4236
480	3918	4228
481	3926	4219
482	3934	4211
483	3942	4202
484	3949	4193
485	3956	4184
486	3963	4175
487	3971	4167
488	3978	4157
489	3986	4149
490	3993	4140
491	4002	4132
492	4009	4123
493	4017	4115
494	4025	4106
495	4032	4097
496	4039	4088
497	4047	4080
498	4055	4071
499	4063	4063
500	4070	4054
501	4078	4045
502	4085	4036
503	4093	4028
504	4102	4020
505	4109	4012
506	4117	4003
507	4125	3995
508	4132	3986
509	4139	3977
510	4147	3969
511	4156	3961
512	4164	3953
513	4172	3944
514	4180	3936
515	4187	3927
516	4194	3918
517	4202	3910
518	4209	3901
519	4217	3892
520	4224	3884
521	4232	3875
522	4239	3867
523	4247	3858
524	4255	3849
525	4262	3841
526	4270	3833
527	4278	3824
528	4286	3816
529	4293	3807
530	4301	3798
531	4308	3790
532	4317	3782
533	4324	3773
534	4332	3765
535	4339	3756
536	4346	3747
537	4353	3738
538	4361	3729
539	4368	3721
540	4376	3713
541	4384	3705
542	4392	3696
543	4399	3687
544	4407	3679
545	4415	3671
546	4422	3662
547	4430	3654
548	4436	3644
549	4444	3636
550	4451	3627
551	4459	3619
552	4466	3610
553	4473	3601
554	4481	3593
555	4488	3584
556	4496	3576
557	4503	3567
558	4511	3559
559	4519	3550
560	4527	3542
561	4534	3534
562	4542	3525
563	4549	3517
564	4558	3509
565	4572	3506
566	4585	3502
567	4597	3496
568	4609	3491
569	4622	3487
570	4635	3482
571	4646	3476
572	4655	3469
573	4662	3460
574	4671	3452
575	4679	3444
576	4686	3435
577	4694	3427
578	4702	3419
579	4709	3410
580	4736	3415
581	4747	3410
582	4758	3403
583	4769	3397
584	4783	3393
585	4792	3385
586	4803	3379
587	4812	3372
588	4820	3363
589	4824	3352
590	4832	3344
591	4839	3335
592	4847	3326
593	4855	3318
594	4862	3310
595	4870	3301
596	4877	3292
597	4885	3284
598	4893	3276
599	4901	3267
600	4908	3259
601	4916	3250
602	4924	3241
603	4932	3233
604	4939	3224
605	4947	3216
606	4954	3207
607	4962	3199
608	4969	3190
609	4977	3182
610	4984	3173
611	4992	3165
612	5000	3156
613	5007	3148
614	5015	3139
615	5023	3131
616	5031	3122
617	5038	3114
618	5046	3106
619	5053	3097
620	5060	3088
621	5068	3080
622	5076	3072
623	5084	3063
624	5091	3054
625	5099	3046
626	5106	3037
627	5114	3029
628	5123	3021
629	5130	3013
630	5138	3004
631	5146	2996
632	5153	2987
633	5160	2979
634	5168	2970
635	5175	2962
636	5183	2953
637	5191	2945
638	5199	2937
639	5207	2929
640	5214	2920
641	5221	2911
642	5228	2903
643	5236	2894
644	5244	2886
645	5251	2877
646	5258	2868
647	5266	2860
648	5273	2852
649	5280	2843
650	5287	2834
651	5294	2825
652	5301	2817
653	5309	2809
654	5317	2800
655	5325	2792
656	5333	2784
657	5341	2776
658	5348	2767
659	5356	2759
660	5364	2750
661	5371	2742
662	5379	2734
663	5387	2726
664	5394	2717
665	5401	2708
666	5409	2700
667	5417	2692
668	5425	2684
669	5432	2675
670	5439	2667
671	5447	2658
672	5455	2650
673	5462	2642
674	5470	2633
675	5477	2625
676	5485	2617
677	5492	2608
678	5500	2600
679	5507	2591
680	5514	2583
681	5522	2574
682	5529	2566
683	5537	2558
684	5544	2549
685	5553	2541
686	5560	2533
687	5568	2525
688	5575	2516
689	5583	2508
690	5591	2500
691	5599	2492
692	5606	2483
693	5614	2475
694	5621	2467
695	5629	2458
696	5637	2450
697	5644	2442
698	5652	2434
699	5660	2426
700	5668	2417
701	5675	2409
702	5683	2401
703	5690	2392
704	5698	2384
705	5705	2376
706	5713	2367
707	5720	2359
708	5728	2351
709	5735	2342
710	5743	2334
711	5750	2326
712	5758	2317
713	5766	2309
714	5774	2301
715	5781	2293
716	5789	2285
717	5796	2276
718	5803	2268
719	5811	2259
720	5818	2251
721	5826	2243
722	5833	2235
723	5841	2226
724	5849	2218
725	5857	2210
726	5872	2205
727	5890	2200
728	5904	2194
729	5914	2187
730	5925	2180
731	5938	2174
732	5949	2167
733	5959	2159
734	5970	2152
735	5981	2145
736	5990	2137
737	5998	2129
738	6006	2121
739	6015	2113
740	6023	2105
741	6031	2097
